H.alpha H.beta S.II.6718 S.II.6733 H.gamma O.II O.III.5008 O.III.4960 N.II.6585 N.II.6550
3.56551 2.38349 1.92497 1.57248 1.54356 2.64966 0.79613 0.000722624 2.38816 1.29956
1.07906 0.519145 -0.312442 -0.556527 -0.711303 1.85309 0.956799 -0.112351 1.01633 -0.176485
2.6947 1.60327 0.996722 0.784148 0.817482 2.21166 -0.554277 -1.37358 1.40408 0.240813
3.70107 2.30386 1.88947 1.59909 1.0962 2.41782 0.548636 -0.595307 2.86256 1.7771
3.8215 2.41752 2.30718 1.99306 1.45358 3.50889 2.44049 1.17139 2.18734 1.09896
4.01871 2.62747 1.73434 1.76438 1.72519 2.85245 2.61268 1.05164 3.24513 2.72428
3.663 2.426 2.03383 1.72742 1.54377 2.98886 1.79631 0.524006 2.72677 1.42095
4.26261 2.77348 2.39359 2.03254 1.84002 3.54179 2.38527 1.14752 2.90169 1.73621
1.93966 0.970099 0.740652 0.44366 0.20053 2.33411 2.23437 0.701428 1.78156 0.743875
1.52893 0.541063 0.7115 0.4479 -0.0101103 2.81983 0.830616 -0.77577 0.713641 -0.454017
4.97893 3.52507 3.17603 2.77964 2.66298 4.29873 4.21927 3.03839 3.29633 2.10979
3.44373 2.06059 1.466 1.12548 1.05282 2.2542 0.389367 -0.0569351 2.21975 1.31843
1.5173 0.669171 0.160225 -0.526272 -0.187081 1.53154 0.19505 -1.34313 0.694966 -0.95644
3.4677 2.15451 1.75483 1.25852 1.35299 2.24799 0.390334 -0.160588 2.45671 1.14458
3.59181 2.31317 1.88873 1.54152 1.4257 3.17266 1.84255 0.47311 2.23348 1.10758
1.82297 0.99338 0.621437 -0.219493 -0.224497 1.02166 -1.11877 -1.18836 1.08711 -0.0601739
2.94796 1.82144 1.40659 1.02246 0.973174 2.79752 1.36547 -0.217396 1.28821 0.224162
3.8828 2.51785 2.18871 1.78342 1.63471 3.35226 2.34009 1.0703 2.84381 1.70181
3.18159 1.80483 1.43782 1.25559 0.696369 2.30435 0.00273711 -0.62871 2.14785 1.06653
4.23775 2.82755 2.44664 2.09289 1.86285 3.76741 3.38369 2.18297 2.48096 1.4093
4.25344 2.6998 2.26068 2.18835 1.6329 3.13858 2.08682 0.882403 3.29336 2.34559
3.08864 1.67837 1.00306 0.637915 0.649256 1.90499 0.688103 -1.30072 2.06338 0.782319
3.07473 1.85471 1.46862 1.16812 0.862885 2.41903 0.686027 0.613133 1.77685 0.148847
5.15481 3.7147 2.94599 2.67172 2.78352 4.60528 4.99391 3.64608 2.84511 1.76407
1.63901 0.395937 0.764399 0.304028 -0.550998 2.80464 0.823943 -0.696531 1.13477 -0.349071
2.8896 1.83486 1.19109 0.705164 1.16449 2.68048 0.750341 -0.309957 1.88231 0.62453
2.42307 1.28041 0.224799 -0.614952 0.572834 1.42106 -0.537522 -0.810183 1.33676 -0.0637393
3.75177 2.3735 1.88971 1.49927 1.63289 2.72464 1.19417 0.260319 2.77579 1.5716
3.23944 1.96711 1.78753 1.27305 1.1995 2.74002 1.28353 0.084798 1.69747 0.693855
3.05124 1.80088 1.4725 1.04409 0.960746 2.64391 0.799419 -0.143528 1.58226 0.704724
3.19052 1.79161 1.33436 0.863116 0.985696 2.04105 0.595839 -0.820342 2.01891 0.927407
2.32103 1.13532 0.634159 0.682995 0.0401492 2.29372 0.427957 -1.08104 1.39745 0.286268
3.78899 2.42434 2.0626 1.74441 1.66667 3.52426 2.43675 1.30495 1.99253 0.845152
3.27317 1.99273 1.3285 0.998973 1.0991 2.29937 0.468135 -0.860486 2.0494 0.834228
3.79249 2.52478 2.10571 1.6915 1.75197 3.33353 2.05672 0.980159 2.40326 1.2525
1.29245 0.322238 0.0715346 -0.291807 -0.558007 1.65852 -0.360328 -1.66158 0.866798 -0.294527
2.94433 1.51642 0.419461 1.03859 -0.078837 1.60666 2.10521 0.742276 2.41515 1.31093
2.41177 1.15499 0.969013 0.283467 -0.0568533 1.78579 0.478109 -0.541739 1.88985 0.646247
3.53404 2.05625 1.44744 1.30102 1.01365 2.30694 1.0736 -0.0322056 2.64389 1.48854
4.30045 2.88124 2.55469 2.22613 1.82918 3.28504 1.88721 0.757031 3.43313 2.30986
2.54105 1.41233 0.737392 0.255385 1.04542 2.47407 0.0881043 0.072403 1.31758 0.330625
3.69529 2.41688 1.58709 1.42851 1.65653 2.2365 0.498932 -0.394013 2.64989 1.48011
2.42471 1.13276 0.32263 -0.16014 0.44248 1.42598 -0.825539 -0.979782 1.3959 -0.36509
2.697 1.63463 0.921151 0.555559 0.903182 2.23568 0.554232 -0.799558 1.74243 0.42991
0.584883 0.392274 -0.496602 -1.31694 0.0335661 1.66596 -0.205018 -0.647544 0.163989 -0.298896
2.79657 1.5625 0.844974 0.909019 0.643953 1.96653 0.741951 -0.620134 1.9192 0.3599
3.68138 2.1898 1.56312 1.28839 1.24972 2.35528 0.948939 -0.147826 2.60988 1.49011
3.9391 2.64939 2.05398 1.87556 1.81208 2.53858 1.28109 -0.079062 3.02716 1.96438
3.24654 1.98601 1.4884 1.12829 1.2975 2.55684 0.587743 -0.220297 2.1476 0.958659
2.19412 1.32744 0.651629 0.576032 0.338898 2.59342 0.411228 -0.374849 1.07684 -0.174149
1.50111 -0.105848 -0.709206 -0.222954 0.81165 1.63636 1.62492 0.144467 1.64035 0.247565
3.6104 2.25217 1.98497 1.47955 1.50587 3.68632 2.76438 1.70568 1.31993 0.43776
4.07107 2.6376 2.23334 1.9717 1.62344 3.02221 1.44671 0.361398 3.01802 1.84633
3.01242 1.81913 1.05367 0.577781 1.13846 2.4214 0.600075 -0.206865 1.83003 0.7952
3.67632 2.39549 1.75829 1.3806 1.72535 2.06537 0.477982 -0.395363 2.72954 1.39179
3.06191 1.84858 1.24779 0.887316 1.48732 1.99709 -0.0944848 -0.943054 2.0917 1.10546
4.65474 3.10041 2.75096 2.49066 2.06887 3.66875 2.75916 1.58377 3.53055 2.51265
3.34869 2.02351 1.72904 1.25785 1.08959 2.83504 0.829754 -0.632076 2.04966 0.829057
3.39238 2.00765 1.17663 1.07772 1.26083 2.05589 0.0838022 -0.533434 2.46159 1.23241
3.62219 2.17826 1.72529 1.2161 0.710027 2.31962 0.18892 -0.469458 2.5654 1.40634
6.0322 4.38453 3.4944 3.26545 3.40763 4.66801 5.87049 4.69901 2.94784 2.8288
2.66341 1.28805 0.685465 0.390431 0.785351 1.2436 -0.226507 -1.10412 1.48309 0.156558
